gene,g_original,g_composition_removed,lineage,panel
ENSG00000041357,-0.24009248786283968,-0.1874363213459283,-3.624155799859928,False
ENSG00000041802,-0.03327629407275734,0.1350531924872903,-2.71433671938638,False
ENSG00000042317,-0.0045555546305876896,0.1359459851589631,-0.851829691266226,False
ENSG00000042753,0.3100371542231835,0.5562558198287226,-3.417931446906062,False
ENSG00000043093,-0.271707534733589,-0.13864905548247478,-2.311364180734395,False
ENSG00000043143,0.07812172462973245,0.09852862225604508,0.0,False
ENSG00000044115,-0.08003583788667636,-0.3346450251023272,0.0,False
ENSG00000044574,0.5166199353638209,0.48427829639693465,-3.225531523959055,False
ENSG00000046653,0.02688593785561413,-0.411039471996648,0.9892090363326285,False
ENSG00000047056,-0.29411628312625143,-0.15867087658604045,-1.0012570833505476,False
ENSG00000047188,-0.21810943310942116,-0.13688118410824007,-2.706847889941947,False
ENSG00000047249,-0.3271916584776165,-0.09552397824386817,-1.1352698347270893,False
ENSG00000047315,-0.07985091227752836,-0.03232881245305978,0.0,False
ENSG00000047410,-0.017773203757561258,-0.017989134971207733,-1.3235400393744532,False
ENSG00000047579,0.24866567249431323,0.263445068039898,-2.18590627643016,False
ENSG00000047597,0.14701555842614472,0.1535793685609619,0.5440059628850049,False
ENSG00000047648,-0.008663144947607587,0.005693710262929581,-5.763151946870593,False
ENSG00000047849,0.004969989542626975,0.09099864970251913,-2.9515320915924503,False
ENSG00000047932,0.21916588601188974,0.09456957323986097,0.23624955825076924,False
ENSG00000048052,-0.3022829546227542,-0.3295951013634697,-3.344397872726165,False
ENSG00000048392,0.08952548353780596,0.11053496617597453,0.0,False
ENSG00000048471,-0.5228868729321857,-0.3572240468040646,0.0181030432631585,False
ENSG00000048540,-0.4346350794027801,-0.08371820927112533,-10.095530118367845,False
ENSG00000048544,0.14157986244976764,0.2583630649845417,-1.6086612020814206,False
ENSG00000048649,0.12106741409530107,0.04720237099964848,-0.02351124591739817,False
ENSG00000048707,-0.09165459114396102,0.12541887435607832,-0.5688034567264475,False
ENSG00000048740,0.18639661288477938,0.18806386172870196,-2.481702085370414,False
ENSG00000048828,0.03234321627271318,0.008171556500793674,-0.8904931608136701,False
ENSG00000048991,-0.3095664392674365,-0.036225057345251714,-1.953868264161294,False
ENSG00000049245,0.12824524603251597,-0.28226828821401423,0.0,False
ENSG00000049618,0.040910465389276944,-0.15663656221510414,0.0,False
ENSG00000049656,0.3112599340364325,0.3393976856431949,-1.9771138315365393,False
ENSG00000049759,0.04852537049353144,0.3617121864525414,-3.092816549155304,False
ENSG00000049769,-0.35343263414097525,-0.160764333041076,0.0,False
ENSG00000049860,0.2967532222997212,0.38616386344176273,-0.29433766650325077,False
ENSG00000050130,0.019382728397921517,0.17525355231581582,-1.544138966388625,False
ENSG00000050165,0.16373279486904585,0.23811582435701384,-2.224151516419794,False
ENSG00000050393,0.12606250817830542,0.112736475621243,0.5099437629198,False
ENSG00000050426,-0.36396108142685996,-0.2308151396128976,0.0,False
ENSG00000050438,0.17809527720673907,0.11054862922510741,0.28200459218674334,False
ENSG00000050748,-0.09266804342733645,-0.050782484676949964,0.0,False
ENSG00000050820,-0.01952209186084589,-0.0644751874233351,1.2437721407075617,False
ENSG00000051108,-0.26005077081445976,0.00494725609525364,-3.3599051195096417,False
ENSG00000051620,0.03137532725062952,0.2302201033494178,-2.667025486507575,False
ENSG00000051825,-0.23421863158212672,-0.40923942956225035,-2.1687024584083936,False
ENSG00000052126,-0.015806279680086393,0.2680134518027438,-2.285260829299424,False
