list,draw,n_significant,best_p_adj
all,45,36,0.03843635402563119
all,46,0,1.0
all,47,0,1.0
all,48,0,1.0
all,49,0,1.0
all,50,0,1.0
all,51,0,1.0
all,52,0,1.0
all,53,0,1.0
all,54,0,1.0
all,55,0,1.0
all,56,0,1.0
all,57,1,0.03925037919039475
all,58,0,1.0
all,59,0,1.0
all,60,0,1.0
all,61,3,0.03196912530205381
all,62,0,1.0
all,63,0,1.0
all,64,4,0.0146700454502423
all,65,0,1.0
all,66,14,0.011162092649607172
all,67,0,1.0
all,68,0,1.0
all,69,2,0.006387086692930177
all,70,0,1.0
all,71,0,1.0
all,72,0,1.0
all,73,1,0.03478664558887805
all,74,0,1.0
all,75,0,1.0
all,76,0,1.0
all,77,9,0.03430607727661702
all,78,0,1.0
all,79,1,0.03582236798497578
all,80,0,1.0
all,81,2,0.018850664572686613
all,82,0,1.0
all,83,3,0.03726582457443867
all,84,1,0.023745516759056163
all,85,1,0.02906394975785002
all,86,0,1.0
all,87,0,1.0
all,88,0,1.0
all,89,27,0.001899134937666937
all,90,4,0.03019218296393189
all,91,0,1.0
all,92,2,0.026011469239281583
all,93,0,1.0
all,94,0,1.0
all,95,0,1.0
all,96,0,1.0
all,97,1,0.0431825260407407
all,98,2,0.02766606588767408
all,99,0,1.0
