gene,symbol,metric,panel
ENSG00000004455,AK2,0.36605054,False
ENSG00000070961,ATP2B1,0.36600044,False
ENSG00000085831,TTC39A,0.36596745,False
ENSG00000137106,GRHPR,0.36540255,False
ENSG00000196683,TOMM7,0.36518517,False
ENSG00000148719,DNAJB12,0.3647419,False
ENSG00000033170,FUT8,0.3642771,False
ENSG00000140538,NTRK3,0.36427245,False
ENSG00000064225,ST3GAL6,0.36389202,False
ENSG00000115548,KDM3A,0.3625559,False
ENSG00000035862,TIMP2,0.3622232,False
ENSG00000255529,POLR2M,0.36179018,False
ENSG00000134825,TMEM258,0.3611289,False
ENSG00000067048,DDX3Y,0.36073193,False
ENSG00000110987,BCL7A,0.3599544,False
ENSG00000196368,NUDT11,0.35990417,False
ENSG00000124160,NCOA5,0.35977358,False
ENSG00000170500,LONRF2,0.3595524,False
ENSG00000009954,BAZ1B,0.35935152,False
ENSG00000132329,RAMP1,0.3587496,False
ENSG00000172260,NEGR1,0.3580106,False
ENSG00000198791,CNOT7,0.35782102,False
ENSG00000162704,ARPC5,0.35733363,False
ENSG00000116678,LEPR,0.3572043,False
ENSG00000136541,ERMN,0.35708106,False
ENSG00000174780,SRP72,0.35702065,False
ENSG00000094975,SUCO,0.35694146,False
ENSG00000219545,UMAD1,0.35683304,False
ENSG00000169155,ZBTB43,0.3563048,False
ENSG00000077585,GPR137B,0.35604823,False
ENSG00000213024,NUP62,0.35529023,False
ENSG00000171206,TRIM8,0.35508335,False
ENSG00000160460,SPTBN4,0.35457018,False
ENSG00000151366,NDUFC2,0.3545573,False
ENSG00000126803,HSPA2,0.35431796,False
ENSG00000120913,PDLIM2,0.35429573,False
ENSG00000186350,RXRA,0.35410225,False
ENSG00000165156,ZHX1,0.3537814,False
ENSG00000189079,ARID2,0.35365203,False
ENSG00000159579,RSPRY1,0.3533544,False
ENSG00000148153,INIP,0.35326415,False
ENSG00000165632,TAF3,0.35314742,False
ENSG00000114853,ZBTB47,0.35280535,False
