gene,symbol,importance,rank,direction_rho,direction,top50_fold_frequency
ENSG00000174748,RPL15,5.579130722360016e-05,4657,-0.27148463285163016,higher rank -> less PD-like,0.0
ENSG00000198478,SH3BGRL2,5.5773262001970036e-05,4658,-0.15097147384287454,higher rank -> less PD-like,0.0
ENSG00000128266,GNAZ,5.5764806135050786e-05,4659,-0.041042626728108364,higher rank -> less PD-like,0.0
ENSG00000085978,ATG16L1,5.574617992909959e-05,4660,-0.14619511083894257,higher rank -> less PD-like,0.0
ENSG00000080371,RAB21,5.5740365447407604e-05,4661,0.06912442396312989,higher rank -> more PD-like,0.0
ENSG00000004455,AK2,5.5738026790491186e-05,4662,0.19844470046081858,higher rank -> more PD-like,0.0
ENSG00000054523,KIF1B,5.571262275946175e-05,4663,0.006336405529953571,higher rank -> more PD-like,0.0
ENSG00000115204,MPV17,5.570490785473395e-05,4664,-0.13311251920122155,higher rank -> less PD-like,0.0
ENSG00000008294,SPAG9,5.5693758170314145e-05,4665,-0.025249918995660408,higher rank -> less PD-like,0.0
ENSG00000187735,TCEA1,5.567430377115091e-05,4666,-0.06605222734254633,higher rank -> less PD-like,0.0
ENSG00000152518,ZFP36L2,5.566388627233022e-05,4667,0.05707565284177874,higher rank -> more PD-like,0.0
ENSG00000143740,SNAP47,5.566290897686763e-05,4668,-0.1884143195018387,higher rank -> less PD-like,0.0
ENSG00000183044,ABAT,5.566205208288632e-05,4669,0.07070937391750536,higher rank -> more PD-like,0.0
ENSG00000029725,RABEP1,5.5651288244202595e-05,4670,-0.021985934768590933,higher rank -> less PD-like,0.0
ENSG00000129933,MAU2,5.5632389035133595e-05,4671,0.03398617511520549,higher rank -> more PD-like,0.0
ENSG00000130724,CHMP2A,5.5625136109449215e-05,4672,-0.027649769585251942,higher rank -> less PD-like,0.0
ENSG00000145391,SETD7,5.559179732982514e-05,4673,-0.01924923195084378,higher rank -> less PD-like,0.0
ENSG00000254858,MPV17L2,5.558691825718107e-05,4674,-0.08962173579108572,higher rank -> less PD-like,0.0
ENSG00000134202,GSTM3,5.557559618919335e-05,4675,0.1630184331797146,higher rank -> more PD-like,0.0
ENSG00000123106,CCDC91,5.55611027238634e-05,4676,-0.12696812596005452,higher rank -> less PD-like,0.0
ENSG00000133101,CCNA1,5.554388183298386e-05,4677,-0.13244365507978684,higher rank -> less PD-like,0.0
ENSG00000176978,DPP7,5.5534705863139986e-05,4678,0.035618279569890526,higher rank -> more PD-like,0.0
ENSG00000109390,NDUFC1,5.552538692875456e-05,4679,0.08808563748079397,higher rank -> more PD-like,0.0
ENSG00000172346,CSDC2,5.551831768502718e-05,4680,-0.19218260589187544,higher rank -> less PD-like,0.0
ENSG00000138399,FASTKD1,5.551560368350297e-05,4681,0.14712941628263404,higher rank -> more PD-like,0.0
ENSG00000117139,KDM5B,5.5515282698263425e-05,4682,-0.006480414746543455,higher rank -> less PD-like,0.0
ENSG00000242808,SOX2-OT,5.550347558848758e-05,4683,-0.0017521331622463885,higher rank -> less PD-like,0.0
ENSG00000104447,TRPS1,5.548581669231763e-05,4684,0.09206989247311326,higher rank -> more PD-like,0.0
