cohort,gene,symbol,g,v,g_adj,v_adj
GSE20292,ENSG00000143847,PPFIA4,-0.4110986013604524,0.33189372574779813,1.1171109001001285,0.3636270993678569
GSE20292,ENSG00000145050,MANF,-0.4388312408935115,0.33258698451084573,0.7109487423362024,0.3417891979298248
GSE20292,ENSG00000152484,USP12,-0.4418590853190311,0.3326654137253996,1.0482199809401715,0.3592396983478479
GSE20292,ENSG00000164151,ICE1,-0.44710398386876354,0.3328025466992922,0.45207137661480773,0.3329339160276183
GSE20292,ENSG00000172137,CALB2,-0.4062870584147884,0.3317780526241164,0.6263631079276261,0.3384622164222756
GSE20292,ENSG00000173611,SCAI,-0.4460767312570173,0.33277556075157533,0.6047984417601673,0.3376813461923571
GSE20292,ENSG00000173914,RBM4B,-0.401990618846252,0.33167591391250023,0.5190217982879733,0.33484612477890285
GSE20292,ENSG00000185513,L3MBTL1,-0.4243669283886437,0.33221976192043023,0.9392860860211915,0.3528718519640478
GSE20292,ENSG00000196367,TRRAP,-0.40898278704864555,0.33184269222019686,0.9804146714917096,0.35519404539590627
GSE20292,ENSG00000197448,GSTK1,-0.4297340642820746,0.33235458768791193,0.9820949145240802,0.35529103048584343
GSE20163,ENSG00000003402,CFLAR,0.4972219984265823,0.3199407438153727,0.06474693811298149,0.3112608313252185
GSE20163,ENSG00000005700,IBTK,0.09903137916828827,0.31146136875611014,0.12349539498295374,0.31165579370332525
GSE20163,ENSG00000085719,CPNE3,0.2901690766271609,0.3141181858622061,-0.2199140411130648,0.3128383320210639
GSE20163,ENSG00000089280,FUS,-1.1721389541723433,0.36017931567854805,0.029469266613296345,0.3111421267423513
GSE20163,ENSG00000100600,LGMN,-1.0630074502751583,0.35146771251612874,-0.1532803723968902,0.3119502137026157
GSE20163,ENSG00000101040,ZMYND8,0.7739206900803068,0.33250229805876746,0.012537141887954696,0.3111167246799225
GSE20163,ENSG00000104327,CALB1,-1.6902991352975292,0.4131507956392388,-0.16660524702575844,0.3121024435517009
GSE20163,ENSG00000114302,PRKAR2A,-0.7394721429626592,0.3306403629046035,0.028441395230935515,0.31114000085977833
GSE20163,ENSG00000119866,BCL11A,0.6598371911621176,0.3266605796411366,0.1761754500228946,0.31221960358221
GSE20163,ENSG00000132002,DNAJB1,-0.5099017430833963,0.32039681781109275,-0.18934714657695537,0.3123915518938552
GSE20163,ENSG00000135298,ADGRB3,-1.0598971689248868,0.35123189713593217,-0.050330673301871666,0.3112015817066475
GSE20163,ENSG00000136040,PLXNC1,-1.2589904244066923,0.3677202857092448,-0.21660146840211392,0.31278668954375227
GSE20163,ENSG00000136235,GPNMB,-0.4707832421221206,0.3190267132919331,0.030183437957020304,0.3111436482513577
GSE20163,ENSG00000139874,SSTR1,-0.21844641454221192,0.3128153552549093,-0.2366334402671981,0.31311094629156433
GSE20163,ENSG00000140600,SH3GL3,0.08440980285359422,0.3113655759260319,0.11139498931565481,0.3115542840984195
GSE20163,ENSG00000141837,CACNA1A,0.5481779216996251,0.3218432194625011,-0.1410817277292358,0.3118219701789349
GSE20163,ENSG00000143847,PPFIA4,-0.45138104477323165,0.31838771281041733,0.17507008381783415,0.3122057373342534
GSE20163,ENSG00000145050,MANF,-1.398716900649923,0.38098285997410136,0.18473843155487446,0.31232997854301664
GSE20163,ENSG00000152484,USP12,-0.2075997402587491,0.3126503129738075,0.034662428557441456,0.3111540212523075
GSE20163,ENSG00000164151,ICE1,1.1226151236443307,0.35612056524807456,-0.03501161902215753,0.311154890163488
GSE20163,ENSG00000172137,CALB2,0.12508970330306257,0.3116699480351271,-0.03691443357482662,0.3111597780899022
GSE20163,ENSG00000173611,SCAI,0.4961822010779398,0.3199038531349164,-0.35996735262972174,0.3157388430739415
GSE20163,ENSG00000173914,RBM4B,-0.009464932954177755,0.3111143105738192,0.05375705070949709,0.31121431898614627
GSE20163,ENSG00000185513,L3MBTL1,0.5659633968374345,0.32255091705967426,-0.023048287874276194,0.3111300833816088
GSE20163,ENSG00000196367,TRRAP,-0.12689395283396054,0.3116861852277478,0.018662669624343757,0.3111235502267364
GSE20163,ENSG00000197448,GSTK1,-1.1133982232922193,0.3553845255264779,-0.17795038769164565,0.3122420518425256
GSE20164,ENSG00000003402,CFLAR,0.24267157727407104,0.36934346186742506,-0.4912549928760242,0.3776362788496495
GSE20164,ENSG00000005700,IBTK,0.07426899744434218,0.36691738866582063,0.2249333088086354,0.3689664390944667
GSE20164,ENSG00000085719,CPNE3,0.1593330527322436,0.3678206221981655,0.29625645944647316,0.370656116201383
GSE20164,ENSG00000089280,FUS,-0.03921469248261856,0.3667365663078715,0.7671709833457905,0.39341899928883695
GSE20164,ENSG00000100600,LGMN,-0.46410443090772674,0.37645725406612957,0.3032024592426034,0.37084538172533765
GSE20164,ENSG00000101040,ZMYND8,1.0317061920792496,0.4150492878836969,0.42975932637235015,0.3750618066032128
GSE20164,ENSG00000104327,CALB1,-0.9946745937581621,0.41163837336975595,0.17247804108785075,0.36801887915109854
GSE20164,ENSG00000114302,PRKAR2A,1.059916469549825,0.41773134495861963,0.062180553977214205,0.3668424130890718
GSE20164,ENSG00000119866,BCL11A,0.019176753734719963,0.3666833824795667,0.17068271790310055,0.36799087531170255
GSE20164,ENSG00000132002,DNAJB1,1.034010963920193,0.4152656972806288,-0.36885085856373995,0.3728508010240852
GSE20164,ENSG00000135298,ADGRB3,-0.8938728862484385,0.4029852456107627,-0.06602811617875412,0.36686483539967185
GSE20164,ENSG00000136040,PLXNC1,-0.6711461449600683,0.38714108248006485,0.21548659847137136,0.36877732458124673
GSE20164,ENSG00000136235,GPNMB,0.3562450357024798,0.37243532691496944,-0.05122142149048627,0.3667859227584624
GSE20164,ENSG00000139874,SSTR1,0.45087427718456785,0.37590701274969873,0.3653935316599924,0.3727354136202558
GSE20164,ENSG00000140600,SH3GL3,-0.86033509755971,0.4003110521254428,-0.4763905613232639,0.37698248334475276
GSE20164,ENSG00000141837,CACNA1A,-0.1874685270324689,0.36826414160429044,0.4549712007839639,0.376075702736794
GSE20164,ENSG00000143847,PPFIA4,-0.5968423041886415,0.38285851830617607,0.43356295925607086,0.375211068468434
GSE20164,ENSG00000145050,MANF,0.7474599200146851,0.3920619544861375,-0.5560240298749639,0.3807195176575028
GSE20164,ENSG00000152484,USP12,-0.10610364101259133,0.36717839315012707,-0.019372205759176888,0.3666837249555746
GSE20164,ENSG00000164151,ICE1,1.0596239890341115,0.41770316658196494,0.4379641550123351,0.3753854212610152
GSE20164,ENSG00000172137,CALB2,-1.6875899460335166,0.49611938602818517,-0.33726927967656295,0.3718371469854643
GSE20164,ENSG00000173611,SCAI,-0.32088006104078676,0.3713468491018275,0.2719290612242318,0.37002782186386174
GSE20164,ENSG00000173914,RBM4B,1.7549594687045293,0.506661336521016,0.5331830309576332,0.3795886732349016
GSE20164,ENSG00000185513,L3MBTL1,-1.1736438954287491,0.42927757545199247,-0.6665386100542205,0.3868609266072581
GSE20164,ENSG00000196367,TRRAP,0.7429786907749737,0.3917583637096527,-0.019963045259662828,0.36668478135648663
GSE20164,ENSG00000197448,GSTK1,-0.40804242709259925,0.3742347858624675,-0.07372809582429367,0.3669137499445701
GSE8397,ENSG00000003402,CFLAR,1.070934402318375,0.21659928610294962,0.22285419190248018,0.19274631864163425
GSE8397,ENSG00000005700,IBTK,-0.7409781824840459,0.2036025072518267,-0.3476896153925489,0.19429466815909752
GSE8397,ENSG00000085719,CPNE3,0.22960071535599708,0.19281267728605767,0.43066674645753056,0.19569870680806484
GSE8397,ENSG00000089280,FUS,-0.19026181401505957,0.1924536135769341,-0.3628027513212491,0.19452809789202033
GSE8397,ENSG00000100600,LGMN,-0.24485900200743974,0.1929700564680597,-0.14359202164763288,0.19211489859451134
GSE8397,ENSG00000101040,ZMYND8,0.6486462001822446,0.2008132295582072,0.24403401607175929,0.19296128842753868
GSE8397,ENSG00000104327,CALB1,-0.8146826283005031,0.2060950967722018,0.5769776213289172,0.198903692221327
GSE8397,ENSG00000114302,PRKAR2A,-0.4060800972285036,0.19525147200069082,-0.0515118792478787,0.19172435087761555
GSE8397,ENSG00000119866,BCL11A,-0.5707368476456938,0.19874798295493937,-0.11180035184718783,0.1919383909856483
GSE8397,ENSG00000132002,DNAJB1,1.065079324557029,0.2163274050927288,0.3847283339833377,0.19488440342687527
GSE8397,ENSG00000135298,ADGRB3,-2.106175350269644,0.28810089723369836,-0.2810494197274561,0.19338381397816973
GSE8397,ENSG00000136040,PLXNC1,-0.25911877125520133,0.19312628704964072,0.6036246287723732,0.19958759476363594
GSE8397,ENSG00000136235,GPNMB,0.3516129682185858,0.19435431187143806,0.305840775970451,0.19370011406332335
GSE8397,ENSG00000139874,SSTR1,0.4901422531077581,0.19688926293365688,-0.35924554824708926,0.1944722615348265
GSE8397,ENSG00000140600,SH3GL3,-0.969689832410826,0.21210793560320876,-0.2696375563423989,0.19324719735776016
GSE8397,ENSG00000141837,CACNA1A,-1.2117913733751278,0.22358923911419665,-0.11809915235358114,0.19196987122724568
GSE8397,ENSG00000143847,PPFIA4,-0.1573399905716964,0.19220483781086453,0.21768607877910046,0.19269682381654105
GSE8397,ENSG00000145050,MANF,0.4885895204236823,0.19685622578553286,0.34158484423891716,0.19420319288000853
GSE8397,ENSG00000152484,USP12,-1.6882586724699868,0.25362791330079976,-0.4446826007411594,0.1959654191754041
GSE8397,ENSG00000164151,ICE1,-0.22347578963626197,0.1927523498960917,-0.35181953139937217,0.1943574706378422
GSE8397,ENSG00000172137,CALB2,-0.20009826195272848,0.19253708654572108,0.11309457951128607,0.19194471849090222
GSE8397,ENSG00000173611,SCAI,0.5378386516705402,0.19795515395429245,-0.11472758275966227,0.19195280619375094
GSE8397,ENSG00000173914,RBM4B,1.8990152085534793,0.2700635962822626,0.6954002201395957,0.20217930723558403
GSE8397,ENSG00000185513,L3MBTL1,0.46558152223367844,0.19637897435895862,-0.1480204097174901,0.19214297192086088
GSE8397,ENSG00000196367,TRRAP,0.0711342056723118,0.19177666830181084,0.04405923541572503,0.19170886701939316
GSE8397,ENSG00000197448,GSTK1,-0.5542591982329895,0.1983449983802727,0.05816764878802596,0.19174022047896075
GSE49036,ENSG00000003402,CFLAR,0.8995304052093807,0.20925699166440911,0.1909755397806579,0.19245952877089523
GSE49036,ENSG00000005700,IBTK,0.19693082728853686,0.1925097482044177,0.36613357109944855,0.1945808795337544
GSE49036,ENSG00000085719,CPNE3,0.9306513413774328,0.21049518664944092,0.69125942258472,0.20205448382562669
GSE49036,ENSG00000089280,FUS,0.41368205255836044,0.19538694581033839,0.5137707477389006,0.19740493582388818
GSE49036,ENSG00000100600,LGMN,0.3714230563867361,0.19466569029309416,0.5840675443094083,0.19908264267352804
GSE49036,ENSG00000101040,ZMYND8,0.3044419714747447,0.19368155610134993,0.09529476494905341,0.1918640817150731
GSE49036,ENSG00000104327,CALB1,0.047885076819346714,0.1917165140706231,0.8078689772000004,0.20585475980410525
GSE49036,ENSG00000110693,SOX6,-1.3620018722254257,0.2319938210133094,-0.7472360886024216,0.203804966060359
GSE49036,ENSG00000114302,PRKAR2A,-1.4245714233683384,0.23578413928139916,-0.7279502187784979,0.20318648234100717
GSE49036,ENSG00000119866,BCL11A,-1.1326546457549136,0.21955593941775775,-0.5262471063897294,0.19768701486196152
GSE49036,ENSG00000132002,DNAJB1,0.5937749688540569,0.19933120391965878,0.2923481956219631,0.19352465509021924
GSE49036,ENSG00000135298,ADGRB3,-1.145190466035276,0.2201766928296687,-0.44859791992248227,0.19604145131359663
GSE49036,ENSG00000136040,PLXNC1,0.4073731771458169,0.19527433852444662,0.3697919304021418,0.19463940735776544
GSE49036,ENSG00000136235,GPNMB,1.1124210330926627,0.2185684178594264,0.9939706066720295,0.21314443986075282
GSE49036,ENSG00000139874,SSTR1,-1.2018142704899362,0.22306574363956358,-0.4632704980899683,0.19633230915363467
GSE49036,ENSG00000140600,SH3GL3,-0.43687806714964517,0.19581585026571907,0.22560934473959066,0.19277317919783685
GSE49036,ENSG00000141837,CACNA1A,-2.0290127132133633,0.28116433167495913,-1.2548115587478648,0.22589605901378074
GSE49036,ENSG00000143847,PPFIA4,0.11409705413533465,0.19194966966150062,0.6109104849084094,0.19977996276603685
GSE49036,ENSG00000144619,CNTN4,-1.479544810524873,0.239254772022125,-0.9214072478856065,0.21012299963310424
GSE49036,ENSG00000145050,MANF,0.05028388220149505,0.19172163337991133,0.19798988844821439,0.19251884049118267
GSE49036,ENSG00000152484,USP12,-0.74668557504566,0.20378708727495512,-0.2691833245423277,0.19324187671474624
GSE49036,ENSG00000164151,ICE1,-0.03852091827464288,0.1916989245176389,0.28496559988825076,0.193432001299703
GSE49036,ENSG00000164181,ELOVL7,1.1620383990926613,0.22102173712244572,0.5154478223503296,0.1974424592224427
GSE49036,ENSG00000172137,CALB2,0.2960921979374544,0.19357254905100219,0.707414517321777,0.20254569491270152
GSE49036,ENSG00000173611,SCAI,-1.0952094105833088,0.21774239825428057,-0.35533492958164015,0.19441151258364037
GSE49036,ENSG00000173914,RBM4B,1.5723070868983058,0.24540904874298486,0.8813711730933013,0.20855395242231586
GSE49036,ENSG00000182919,C11orf54,0.7339502551943101,0.20337716616883608,0.2589023762639742,0.19312385015438696
GSE49036,ENSG00000185513,L3MBTL1,-0.0849159632112674,0.1918234214668427,-0.34940476483346194,0.19432065992076075
GSE49036,ENSG00000196367,TRRAP,0.061247930881744156,0.19174821686312962,-0.015752791506451286,0.19167206124145464
GSE49036,ENSG00000197448,GSTK1,-0.6757668900202316,0.20159407731118006,0.19121713855883457,0.1924615361031586
GSE114517,ENSG00000003402,CFLAR,-0.16679546999889028,0.14263653048323857,-0.3335480428202476,0.14407504027732593
GSE114517,ENSG00000005700,IBTK,-0.5558066753364121,0.14748308792352072,-0.7105468191228375,0.15086163485140117
GSE114517,ENSG00000085719,CPNE3,0.1490064093519505,0.14253967153868358,0.31523131597525694,0.14387015209977894
GSE114517,ENSG00000089280,FUS,-0.106747558503309,0.14235332897348454,-0.011133058973348509,0.14215899972789292
GSE114517,ENSG00000100600,LGMN,-0.0039015419116203245,0.14215712519387885,0.18714262093808695,0.14276069654805626
GSE114517,ENSG00000101040,ZMYND8,0.613626624457137,0.14864889092169561,0.3615171481335335,0.14441021875190155
GSE114517,ENSG00000104327,CALB1,-0.3845562559181589,0.14470657850312893,0.24378187381792013,0.14318151105548038
GSE114517,ENSG00000110693,SOX6,-1.7140835636835892,0.1928134569397572,-1.1806099078081926,0.16618858264880268
GSE114517,ENSG00000114302,PRKAR2A,-0.48504898246133177,0.14621328542418033,-0.05738866092148743,0.142213646510656
GSE114517,ENSG00000119866,BCL11A,0.29725822211635283,0.14368035327295622,0.47006437008457574,0.14596652674549473
GSE114517,ENSG00000132002,DNAJB1,1.0872631152137093,0.16253860553310182,0.7682293436486131,0.15233231661480112
