stage,dataset,person,y,PC1,PC2,var_PC1,var_PC2
after,GSE182622,C-15-60,0,10.869919776916504,37.63563537597656,0.24878248572349548,0.08441411703824997
after,GSE182622,C-15-78,0,-0.4995866119861603,31.230600357055664,0.24878248572349548,0.08441411703824997
after,GSE182622,PD-03-43,1,-53.665382385253906,-48.466331481933594,0.24878248572349548,0.08441411703824997
after,GSE182622,PD-03-45,1,23.86453628540039,33.06846237182617,0.24878248572349548,0.08441411703824997
after,GSE182622,PD-06-44,1,-65.87562561035156,18.524497985839844,0.24878248572349548,0.08441411703824997
after,GSE182622,PD-10-27,1,79.65013885498047,-29.515769958496094,0.24878248572349548,0.08441411703824997
after,GSE182622,PD-10-83,1,42.7945556640625,-14.723346710205078,0.24878248572349548,0.08441411703824997
after,GSE182622,PD-11-110,1,11.275487899780273,-21.185546875,0.24878248572349548,0.08441411703824997
after,GSE182622,PD-12-22,1,-4.978679656982422,-30.56842803955078,0.24878248572349548,0.08441411703824997
after,GSE182622,PD-12-33,1,24.04741096496582,16.999134063720703,0.24878248572349548,0.08441411703824997
after,GSE182622,PD-12-55,1,-5.636409282684326,-11.660269737243652,0.24878248572349548,0.08441411703824997
after,GSE182622,PD-13-29,1,-73.31681823730469,25.062349319458008,0.24878248572349548,0.08441411703824997
after,GSE182622,PD-95-19,1,26.94230079650879,31.288820266723633,0.24878248572349548,0.08441411703824997
after,GSE182622,PD-96-36,1,62.69028854370117,31.617334365844727,0.24878248572349548,0.08441411703824997
after,GSE20141,C-1074p-SNc,0,44.9551887512207,16.635509490966797,0.24878248572349548,0.08441411703824997
after,GSE20141,C-1271p-SNc,0,43.68613052368164,17.494932174682617,0.24878248572349548,0.08441411703824997
after,GSE20141,C-2829-SNc,0,-56.77299880981445,-1.8608149290084839,0.24878248572349548,0.08441411703824997
after,GSE20141,C-3132p-SNc,0,39.93165588378906,15.07775592803955,0.24878248572349548,0.08441411703824997
after,GSE20141,C-3397-SNc,0,-24.791400909423828,-24.359569549560547,0.24878248572349548,0.08441411703824997
after,GSE20141,C-3543-SNc,0,23.344682693481445,-15.936387062072754,0.24878248572349548,0.08441411703824997
after,GSE20141,C-3603-SNc,0,-9.622653007507324,-30.950664520263672,0.24878248572349548,0.08441411703824997
after,GSE20141,C-5220-SNc,0,32.293460845947266,-9.33755111694336,0.24878248572349548,0.08441411703824997
after,GSE20141,PD-1364-SNc,1,-31.47793960571289,-6.774899482727051,0.24878248572349548,0.08441411703824997
after,GSE20141,PD-1401-SNc,1,-53.28154754638672,-1.0595245361328125,0.24878248572349548,0.08441411703824997
after,GSE20141,PD-1647-SNc,1,11.326687812805176,-2.1488685607910156,0.24878248572349548,0.08441411703824997
after,GSE20141,PD-2515p-SNc,1,14.180778503417969,21.5376033782959,0.24878248572349548,0.08441411703824997
after,GSE20141,PD-2525-SNc,1,-30.32177734375,-0.9756436347961426,0.24878248572349548,0.08441411703824997
after,GSE20141,PD-3769p-SNc,1,-44.101043701171875,24.113067626953125,0.24878248572349548,0.08441411703824997
after,GSE20141,PD-3790p-SNc,1,-30.68143081665039,14.898241996765137,0.24878248572349548,0.08441411703824997
after,GSE20141,PD-3803p-SNc,1,26.96013641357422,19.596454620361328,0.24878248572349548,0.08441411703824997
after,GSE20141,PD-5138-SNc,1,17.355125427246094,-19.09231185913086,0.24878248572349548,0.08441411703824997
after,GSE20141,PD-5476-SNc,1,27.016921997070312,-16.857332229614258,0.24878248572349548,0.08441411703824997
after,GSE24378,459A,0,-39.546653747558594,33.644630432128906,0.24878248572349548,0.08441411703824997
after,GSE24378,459B,0,30.531742095947266,10.232934951782227,0.24878248572349548,0.08441411703824997
after,GSE24378,459C,0,33.76319885253906,0.29196909070014954,0.24878248572349548,0.08441411703824997
after,GSE24378,459D,0,-71.98871612548828,50.464569091796875,0.24878248572349548,0.08441411703824997
after,GSE24378,459E,1,21.85885238647461,-6.512808799743652,0.24878248572349548,0.08441411703824997
