,Oligodendrocytes,Astrocytes,Microglia,Excitatory,OPCs,Endothelial cells,Inhibitory,Pericytes,Ependymal,GABA,CADPS2+ neurons,DaNs
ENSG00000266964,1.5960721,74.677635,2.698161,1.5365989,1.1010544,7.497704,0.9850031,12.815937,13.277753,0.45247918,1.2567804,0.0
ENSG00000267014,0.21183452,28.12799,1.2628789,0.17891479,0.81847495,2.5899477,0.039184902,1.9019108,5.1331596,0.8605224,2.6160479,0.0
ENSG00000267026,0.18085979,0.046118654,0.2965824,0.17356266,0.18333808,0.031812336,0.3431484,0.27466476,0.0,0.026906991,6.4413066,0.37718654
ENSG00000267055,0.040076368,0.06796291,0.4163126,1.6805316,0.0,0.05933514,0.52972853,0.039433125,0.9566022,0.12644286,0.0,6.0574155
ENSG00000267107,0.22960658,0.21324258,0.6060579,0.21231066,0.41068137,232.40297,0.21876718,61.110607,0.0,0.40708607,0.0,0.0
ENSG00000267214,0.5694171,0.13638607,0.2149786,0.074302234,0.51621574,0.0,0.01038001,0.0,0.5533563,0.0,6.4413066,0.37718654
ENSG00000267228,0.18312162,0.28772405,0.0,0.10952764,0.37699622,0.031812336,0.04152004,0.46555823,0.0,0.026906991,6.4413066,0.0
ENSG00000267653,0.66033566,1.2613214,0.17326374,0.22712797,0.43813583,2.2537642,0.15732679,101.85943,4.9480276,1.4705398,0.0,0.0
ENSG00000267667,0.2719014,0.3511098,0.0,0.23285116,0.09508209,0.15317519,0.2893981,7.9263506,0.3662457,0.053813983,0.0,0.0
ENSG00000267761,63.566227,2.1566114,1.2283013,1.1303343,3.364658,2.567256,2.166934,0.698136,0.13175681,0.6541119,2.6160479,2.747751
ENSG00000268388,0.203717,0.13417809,0.013899013,0.053636596,0.06661002,131.33171,0.023082154,34.709324,0.10273205,0.0,0.0,0.0
ENSG00000269091,0.096535355,1.1970472,0.1074893,1.4280148,0.3037755,0.0,0.6276462,0.17993851,26.973255,1.1284852,0.0,0.0
ENSG00000269113,2.708792,0.7965875,0.7923807,0.9715126,0.84161973,5.726663,1.0783585,34.106865,6.9360275,1.2668793,1.2567804,1.1852821
ENSG00000270087,0.81861997,6.0147657,3.4339094,9.93332,1.9628975,4.721088,3.3348975,1.0747261,2.7738025,0.9410102,0.0,1.2610269
ENSG00000270104,0.09883551,0.10903769,0.027798027,0.07404263,0.0665272,0.05933514,0.19472788,0.039433125,0.0,0.12644286,6.4413066,0.37718654
ENSG00000270164,0.09667218,0.44309676,36.91478,0.049780603,0.16862701,0.7786913,0.041364007,0.16408044,0.0,0.026906991,0.0,0.0
ENSG00000270240,1.4962541,1.9307148,1.5663581,5.3702207,1.0805246,1.7641028,2.6622078,1.4450268,0.69208825,1.4829576,2.6160479,11.273498
ENSG00000271447,0.882498,108.29404,4.457254,6.202431,1.6839925,26.527372,8.172524,7.514867,30.146841,4.206183,0.0,3.0287077
ENSG00000271605,0.2076478,0.36495095,61.812233,0.31177557,0.32698634,0.11078598,0.6538333,0.039433125,0.09199717,0.46740708,0.0,1.1852821
ENSG00000271850,136.61404,19.124102,4.557484,6.002747,1.7905396,3.4644883,5.919894,7.0744023,3.7385228,2.188662,6.4413066,1.1315597
ENSG00000271904,5.3768163,162.8987,2.7107553,9.701819,20.69632,2.8546183,8.824936,0.07886625,37.52423,14.97537,6.4413066,9.4285345
ENSG00000272479,0.0,0.06890688,0.0,1.918451,0.3321276,0.0,1.7693557,0.0,0.2683944,11.355953,0.0,0.8838403
ENSG00000272512,0.06966471,0.8925091,0.013899013,0.66730815,0.0,5.3765683,1.0182414,102.238235,0.13175681,2.0926125,0.0,0.0
ENSG00000272622,0.16792855,2.9667687,0.051893257,4.2129335,2.02151,0.0,5.001616,2.0300806,5.2396684,2.1593335,32.83655,2.747751
ENSG00000272916,0.120986395,0.3106104,0.2727339,0.045913294,0.06338806,0.0,0.028804893,0.0,0.26351362,0.23650226,6.4413066,0.0
ENSG00000273100,0.064816855,0.05793165,0.0,0.021073835,0.20334955,54.618465,0.12567909,10.098903,0.0,0.0,0.0,0.0
ENSG00000273301,0.35066774,0.19286975,0.051893257,11.0792465,0.16230752,0.16490906,16.173256,0.0,0.0,113.27809,10.387005,23.083405
ENSG00000273409,0.4320695,0.9473312,194.39932,2.8322887,0.5731101,0.4137769,0.87971956,0.51658374,0.0,0.15334985,0.0,2.0691226
ENSG00000273507,144.32387,18.702166,26.33661,6.5428104,9.297677,8.885387,6.1947026,8.195428,4.0093594,8.701813,9.002437,2.3925865
ENSG00000273540,29.915474,20.503687,4.6983457,84.72516,19.376154,5.348677,84.72875,3.9255233,1055.6846,7.454483,8.206205,25.59619
ENSG00000273604,0.37961408,0.8784302,1.2091838,0.9577244,2.8084211,1.5288509,0.8250546,2.4697332,0.13175681,9.218594,0.0,3.3301494
ENSG00000273771,0.013498439,1.8942777,0.0,0.8024166,0.46336988,0.7786913,1.5778267,2.4998271,1.6408627,9.24487,0.0,0.0
ENSG00000274515,0.23170829,0.22193547,0.8237236,0.19539441,0.0,0.42840022,0.35635698,0.070252694,0.0,0.53667074,6.4413066,0.0
ENSG00000274536,0.18508114,0.7578011,140.89539,0.12170934,0.20402522,0.089550525,0.175244,0.37627202,0.0,1.3044899,0.0,0.0
ENSG00000275395,0.7848185,5.3614726,187.00433,0.87475485,1.3054732,3.1407783,0.5935085,0.70479447,6.8019295,1.4852684,1.2567804,0.8838403
ENSG00000275443,0.8414042,12.758993,0.6636131,4.63265,7.946106,1.120113,6.956407,342.39502,9.43595,77.0676,5.8218923,6.401365
ENSG00000275491,0.14163567,0.48798457,0.31037188,0.5613308,0.05238117,0.06362467,0.32023907,0.5361881,0.0,0.0,5.9243793,0.0
ENSG00000275620,0.08751106,9.750932,0.013899013,0.05010331,2.5072882,1.2342871,0.012702144,1.4204944,0.5126654,0.0,0.0,0.0
