cohort,method,cell_type,n,median_control,median_PD,auc,p
GSE8397,music,Inhibitory,23,0.5523671773493499,0.2660118316950333,0.125,0.0024841224195107626
GSE8397,music,Pericytes,23,0.010274566448863537,0.02196234707245329,0.7583333333333333,0.04730438045823696
GSE8397,music,CADPS2+ neurons,23,0.0,0.0,0.6666666666666666,0.08125607939467572
GSE8397,music,DaNs,23,0.04003491840990467,0.0,0.03333333333333333,4.722777439413345e-05
GSE49036,nnls,Oligodendrocytes,23,0.2898451237464704,0.3351105697681807,0.7416666666666667,0.06493389950113601
GSE49036,nnls,Astrocytes,23,0.4379178738062967,0.42178170522203995,0.375,0.3572241461593999
GSE49036,nnls,Microglia,23,0.13248912505496796,0.14675701430095975,0.675,0.19011082693947143
GSE49036,nnls,OPCs,23,0.04447144961831172,0.046022746131428725,0.5583333333333333,0.6813429761336612
GSE49036,nnls,Endothelial cells,23,0.029450547647377562,0.03575038018679901,0.6416666666666666,0.2938688269149973
GSE49036,nnls,Inhibitory,23,0.0,0.0,0.5333333333333333,0.5228166539190886
GSE49036,nnls,Pericytes,23,0.0,0.0,0.44583333333333336,0.6345860788393796
GSE49036,nnls,DaNs,23,0.061840856733133304,0.0,0.16666666666666669,0.008567802977204919
GSE49036,nusvr,Oligodendrocytes,23,0.17756424117373015,0.2701601087566423,0.775,0.033717168997825876
GSE49036,nusvr,Astrocytes,23,0.42650312090276177,0.4037445758582815,0.4,0.46635829284907226
GSE49036,nusvr,Microglia,23,0.0313847968478431,0.06274513009787983,0.7749999999999999,0.033717168997825876
GSE49036,nusvr,OPCs,23,0.07741678698395577,0.07738119730050083,0.5083333333333333,0.9748202172485387
GSE49036,nusvr,Endothelial cells,23,0.026551930555409674,0.03488330776159345,0.8,0.019412050237194937
GSE49036,nusvr,Inhibitory,23,0.0,0.0,0.44999999999999996,0.6229027120335278
GSE49036,nusvr,Pericytes,23,0.006189625901572551,0.01060622868254578,0.5833333333333334,0.5361837206637552
GSE49036,nusvr,GABA,23,0.009917944450857443,0.010266244915654385,0.5291666666666667,0.8451224492849397
GSE49036,nusvr,CADPS2+ neurons,23,0.040205488862283076,0.020584849927051643,0.125,0.0024841224195107626
GSE49036,nusvr,DaNs,23,0.15224410798794114,0.11659042891551265,0.13333333333333333,0.004975636994580586
GSE49036,music,Oligodendrocytes,23,0.11198208115327862,0.20402005151725833,0.875,0.0024841224195107626
GSE49036,music,Astrocytes,23,0.21080297960344963,0.271682593081606,0.7,0.1314504582777567
GSE49036,music,Microglia,23,0.08082708599747615,0.10353122978909525,0.8333333333333334,0.00845580587133959
GSE49036,music,OPCs,23,0.010676393887886921,0.012762600139231705,0.65,0.2585186579314527
GSE49036,music,Endothelial cells,23,0.031278643540993384,0.030362670275397685,0.6,0.46635829284907226
GSE49036,music,Inhibitory,23,0.22719954395100128,0.19515906254400842,0.35833333333333334,0.2938688269149973
GSE49036,music,Pericytes,23,0.032132381964678554,0.03442077772864465,0.6,0.46635829284907226
GSE49036,music,Ependymal,23,0.0,0.0,0.5666666666666667,0.3221707527865696
GSE49036,music,CADPS2+ neurons,23,0.0,8.494348679666675e-05,0.6124999999999999,0.3651678295614046
GSE49036,music,DaNs,23,0.30670216817628043,0.1088555361354978,0.16666666666666669,0.010761663101690373
GSE114517,nnls,Oligodendrocytes,29,0.4205879705433249,0.5074594301121624,0.6372549019607843,0.2233302163926154
GSE114517,nnls,Astrocytes,29,0.367301800236432,0.3035411932196568,0.35784313725490197,0.20694835029712433
GSE114517,nnls,Microglia,29,0.07528332331733512,0.08175432393715844,0.5441176470588235,0.7066297099055592
GSE114517,nnls,OPCs,29,0.07117517468006321,0.07784836485811593,0.5735294117647058,0.5208272193824912
GSE114517,nnls,Endothelial cells,29,0.015591921984652698,0.020373244229303842,0.6495098039215687,0.18398460749004386
GSE114517,nnls,Ependymal,29,0.0,0.0,0.4583333333333333,0.2626182904425206
GSE114517,nnls,DaNs,29,0.0,0.0,0.35294117647058826,0.04725485042527636
GSE114517,nusvr,Oligodendrocytes,29,0.3804860733225588,0.4598907176329612,0.6225490196078431,0.27797558904326813
GSE114517,nusvr,Astrocytes,29,0.32548946889538055,0.31321039164018305,0.4558823529411765,0.7066297099055592
GSE114517,nusvr,Microglia,29,0.03808719109756753,0.03349837007625592,0.47058823529411764,0.8075839314378953
GSE114517,nusvr,OPCs,29,0.047515975110178396,0.06276074616018631,0.627450980392157,0.2588307748056683
GSE114517,nusvr,Endothelial cells,29,0.016723426812907186,0.019478829649526443,0.6617647058823529,0.15011533973795838
GSE114517,nusvr,Inhibitory,29,0.10950762468688197,0.0957064157734735,0.35784313725490197,0.20694835029712433
GSE114517,nusvr,Pericytes,29,0.0,0.0,0.5392156862745099,0.695350400673268
GSE114517,nusvr,GABA,29,0.0,0.0,0.5784313725490197,0.4425838527929089
