,Oligodendrocytes,Astrocytes,Microglia,Excitatory,OPCs,Endothelial cells,Inhibitory,Pericytes,Ependymal,GABA,CADPS2+ neurons,DaNs
ENSG00000139737,1336.3582,96.60776,113.27547,119.86763,467.52243,47.439205,110.956535,46.323673,69.513695,169.19713,191.59457,122.49194
ENSG00000139746,263.73438,220.3625,248.2351,246.82237,263.51144,188.14989,226.24892,199.5569,194.48518,209.38449,301.5832,240.03456
ENSG00000139767,1.0258842,3.5608485,1.8579681,179.42802,2.3441494,0.5213877,201.79985,0.65090793,4.1597586,217.7634,794.96936,132.84529
ENSG00000139780,0.010668513,0.0,0.0,0.0,0.034833178,0.0,0.0,0.0,0.0,0.026906991,0.0,0.0
ENSG00000139793,826.3832,300.5119,344.05594,263.6694,221.9877,259.79187,206.86937,232.25389,286.16324,227.28366,387.18488,188.78847
ENSG00000139800,0.030856647,2.6726546,0.07670591,1.785447,0.038518306,21.980429,0.9966866,12.200537,2.8966043,2.2249362,58.98979,0.0
ENSG00000139826,16.042177,12.028012,38.10644,21.951418,21.94295,46.303062,21.195192,28.975414,9.0895815,22.596272,20.70114,21.49891
ENSG00000139832,0.35078505,14.851703,94.20683,0.77518827,11.0779,22.721401,1.0486007,26.213484,9.60162,1.4564034,0.0,0.37718654
ENSG00000139835,0.6717558,20.71408,1.2560406,0.8335165,5.323849,0.6228586,1.0117453,5.754539,17.247723,0.65660655,0.0,0.8838403
ENSG00000139842,97.76941,95.04695,111.72021,58.283157,64.28347,113.6864,58.942776,93.78115,71.63855,57.273186,122.97519,71.93651
ENSG00000139865,7.93804,25.945839,2.0542557,57.70624,22.742659,5.2889333,13.542045,1.6363457,869.35223,1.4009802,0.0,460.33987
ENSG00000139874,0.10447383,0.17083952,0.41890603,5.2092056,14.901412,2.885964,5.4954247,0.39929667,0.63985074,0.09953587,0.0,4.7631507
ENSG00000139880,0.2276411,10.889301,0.10450394,4.148744,6.0724354,6.9856715,6.984169,4.4750533,2.9508965,8.174704,7.411435,2.5220537
ENSG00000139890,0.18582247,0.61375546,0.15444903,0.57755595,0.0,0.11078598,0.54504704,0.0,1.2402554,0.0,0.0,0.8838403
ENSG00000139899,0.49822778,0.53269786,0.5046302,0.42268336,0.11081722,0.40226996,0.6648973,1.2173806,0.2054641,0.0,30.77327,0.0
ENSG00000139908,0.045815293,0.06657124,0.08162162,0.051409427,0.034833178,0.031812336,0.01038001,0.070252694,0.0,0.0,0.0,0.0
ENSG00000139910,306.10474,298.5615,41.87409,774.22974,1461.1063,271.9529,838.09924,160.07748,439.66617,117.35226,719.31964,434.671
ENSG00000139914,0.6607,1.649022,0.5545294,0.23721892,0.5961988,0.47218198,0.17595913,1.1527257,0.58414555,0.25571656,0.0,0.37718654
ENSG00000139915,310.48163,37.533962,27.144722,1741.3754,2207.8523,11.084428,1833.356,45.795254,32.652187,3079.803,155.95131,1027.6934
ENSG00000139921,23.026512,45.766613,43.465805,8.831109,23.323675,38.184708,11.087945,44.08091,37.184975,15.309683,13.670036,10.972056
ENSG00000139926,9.077337,77.88572,3.9506896,15.390012,47.480797,47.893127,13.680106,218.44257,150.70714,45.761414,91.11757,8.351827
ENSG00000139946,78.896866,140.17157,224.99635,46.230007,186.00728,229.74481,81.7965,178.11797,124.47548,230.00064,365.80933,17.297268
ENSG00000139970,247.25626,203.90982,137.12965,529.0237,283.64,309.36905,514.73785,148.31969,302.3005,350.84177,517.78577,543.9985
ENSG00000139971,86.58991,128.72528,163.57007,84.569214,154.52904,62.961124,92.59805,60.958347,145.15,148.7035,237.94627,97.32708
ENSG00000139973,6.3883824,23.802526,3.0288336,282.21268,183.20435,2.0199697,271.4094,0.5406851,53.46626,241.67827,51.279705,265.6368
ENSG00000139974,35.389614,59.50378,28.896803,117.45769,65.46833,70.45537,123.21072,97.56361,121.03496,79.096176,74.94457,135.45512
ENSG00000139977,22.262358,19.582212,20.189127,26.753325,21.999868,44.821175,27.894646,32.97744,15.314993,30.401066,28.67707,17.156992
ENSG00000139985,0.13661377,0.2486157,0.013899013,0.35383078,0.098221235,0.05933514,0.4061208,0.40159866,0.22375397,0.080720976,0.0,0.0
ENSG00000139988,0.29695407,0.12946022,0.35466433,1.2378366,0.29152274,0.0,1.2330188,0.46555823,0.26351362,2.938689,0.0,7.0579705
ENSG00000139990,85.89214,138.97223,158.73672,138.96967,115.199486,189.37225,145.61314,172.76294,127.12373,119.10451,163.2262,158.64557
ENSG00000139998,3.863497,8.408312,2.6409662,32.032692,10.82289,10.397775,34.847538,5.4429746,5.5305023,32.422604,64.59022,28.49389
ENSG00000140006,20.50493,12.122571,25.62025,16.7591,13.863708,18.90434,15.18548,11.574896,16.32194,22.193264,38.012268,10.561631
ENSG00000140009,9.447694,15.820176,6.2982183,24.881273,15.016682,54.74697,30.35505,18.716734,22.27423,13.138865,36.430077,16.532087
ENSG00000140015,1.3768898,2.2788553,2.2276995,179.42307,27.445612,0.8814137,146.63947,2.685558,4.9536037,211.36984,0.0,186.56885
ENSG00000140022,36.01787,282.12692,28.880089,33.17176,23.720612,6.759802,18.033342,7.638919,269.31436,0.6466248,0.0,51.050877
ENSG00000140025,69.979836,57.208035,38.534668,30.510761,43.559326,50.639256,38.020126,22.74217,266.2192,48.11369,23.98417,19.313074
ENSG00000140030,0.15720476,0.19559763,73.68051,0.05050463,0.3125986,0.05933514,0.05638828,0.7450972,0.0,0.42893744,0.0,0.0
ENSG00000140043,0.25227487,0.40533218,0.37410071,0.017587496,0.10512833,0.089550525,0.091071956,0.21075808,0.0,0.0,0.0,0.0
ENSG00000140044,12.584217,76.829155,168.62909,29.420197,38.577953,52.60819,28.758106,31.813118,63.53417,49.782578,25.28852,38.80473
ENSG00000140057,6.351167,4.1993957,2.161861,10.882768,1.2340841,3.1560926,6.967493,0.8190892,180.63577,0.62866044,0.0,2.8992405
ENSG00000140067,0.10358407,14.766557,0.57196355,0.5468066,0.03169403,0.031812336,0.416299,0.575244,14.805774,0.09953587,0.0,0.0
ENSG00000140090,2.7090864,415.2745,13.138196,41.789623,19.452583,5.509625,20.56639,2.569267,141.91797,5.310659,17.447725,25.703226
ENSG00000140092,3.01652,5.9567113,0.8622599,7.2716274,9.075448,5.4344363,4.7846084,22.027794,38.552486,3.2405038,1.2567804,9.526301
ENSG00000140093,0.0,0.06463956,0.0,0.008793748,0.03169403,0.0,0.051900044,0.0,0.0,0.0,0.0,0.0
ENSG00000140104,2.149819,7.3050523,1.8474884,6.2095337,3.2341774,3.16168,6.208684,4.5834866,27.889343,2.5282598,0.0,2.7697732
ENSG00000140105,15.545667,25.04907,80.274,31.156672,15.797608,277.53616,31.504925,97.90097,31.6619,21.159988,9.592234,38.483932
ENSG00000140153,252.8006,89.46567,119.21279,60.073425,97.533745,81.783035,59.38104,92.605354,51.8349,49.25643,106.540504,66.88159
ENSG00000140157,19.06619,13.1220455,55.540554,19.81822,15.80565,23.464289,20.86638,24.697618,14.675342,22.194538,22.162893,23.471807
