cohort,method,donor,marker_z,da_z,y
GSE20164,music,GSM506016,0.063960148841559,-0.6225599397808397,1
GSE20164,music,GSM506017,-0.893927377208608,-0.6225599397808397,1
GSE20164,music,GSM506018,-0.9427185022225545,-0.6225599397808397,1
GSE20164,music,GSM506019,0.649879944470139,-0.15655606524579668,0
GSE20164,music,GSM506020,0.19899238309389367,-0.3127810546129058,0
GSE20164,music,GSM506021,-1.6603057530350627,-0.6225599397808397,1
GSE20164,music,GSM506022,-0.4519048949752961,0.05385986028856642,1
GSE20164,music,GSM506023,1.4039768022493184,1.5246434649893292,0
GSE8397,nnls,C-1,1.3579475599361996,0.0,0
GSE8397,nnls,C-10,1.8146205211744257,0.0,0
GSE8397,nnls,C-155,0.8175753244120237,0.0,0
GSE8397,nnls,C-2,1.4483465149157775,0.0,0
GSE8397,nnls,C-3,1.0118594863976238,0.0,0
GSE8397,nnls,C-4,0.21808844076945755,0.0,0
GSE8397,nnls,C-8,0.47377511446668374,0.0,0
GSE8397,nnls,C-9,1.4939988648031046,0.0,0
GSE8397,nnls,PD-1,-1.0312260403974,0.0,1
GSE8397,nnls,PD-10,-1.2569274592580142,0.0,1
GSE8397,nnls,PD-16,-1.6738032668222738,0.0,1
GSE8397,nnls,PD-2,-0.5484367506619328,0.0,1
GSE8397,nnls,PD-20,-0.3535582677750207,0.0,1
GSE8397,nnls,PD-21,-0.6791661402335152,0.0,1
GSE8397,nnls,PD-22,1.1485549188415234,0.0,1
GSE8397,nnls,PD-28,-0.9836552710935313,0.0,1
GSE8397,nnls,PD-29,-0.041753334964986476,0.0,1
GSE8397,nnls,PD-32,-0.24228543253781837,0.0,1
