cohort,method,donor,marker_z,da_z,y
GSE8397,nnls,PD-34,-0.1314738865923194,0.0,1
GSE8397,nnls,PD-36,-0.5195746396467492,0.0,1
GSE8397,nnls,PD-4,-1.3702336591373565,0.0,1
GSE8397,nnls,PD-7,-0.10800608172991823,0.0,1
GSE8397,nnls,PD-9,-0.8446665148659831,0.0,1
GSE8397,nusvr,C-1,1.3579475599361996,-0.8364931022932467,0
GSE8397,nusvr,C-10,1.8146205211744257,0.6967020492600561,0
GSE8397,nusvr,C-155,0.8175753244120237,0.1870821254154053,0
GSE8397,nusvr,C-2,1.4483465149157775,0.934134572228435,0
GSE8397,nusvr,C-3,1.0118594863976238,-0.4877283621580579,0
GSE8397,nusvr,C-4,0.21808844076945755,1.2091399267253862,0
GSE8397,nusvr,C-8,0.47377511446668374,0.9506298818163615,0
GSE8397,nusvr,C-9,1.4939988648031046,2.50874564640378,0
GSE8397,nusvr,PD-1,-1.0312260403974,-1.1348960368673764,1
GSE8397,nusvr,PD-10,-1.2569274592580142,0.04135734152176891,1
GSE8397,nusvr,PD-16,-1.6738032668222738,-1.1348960368673764,1
GSE8397,nusvr,PD-2,-0.5484367506619328,0.17600165985518226,1
GSE8397,nusvr,PD-20,-0.3535582677750207,-1.1348960368673764,1
GSE8397,nusvr,PD-21,-0.6791661402335152,0.26185190392930446,1
GSE8397,nusvr,PD-22,1.1485549188415234,1.8288331278254462,1
GSE8397,nusvr,PD-28,-0.9836552710935313,-1.1348960368673764,1
GSE8397,nusvr,PD-29,-0.041753334964986476,0.4176336819712781,1
GSE8397,nusvr,PD-32,-0.24228543253781837,-0.7293243476512618,1
GSE8397,nusvr,PD-34,-0.1314738865923194,0.05584591604147771,1
GSE8397,nusvr,PD-36,-0.5195746396467492,-0.05321548315084632,1
GSE8397,nusvr,PD-4,-1.3702336591373565,-1.1348960368673764,1
GSE8397,nusvr,PD-7,-0.10800608172991823,-0.3518203165362074,1
GSE8397,nusvr,PD-9,-0.8446665148659831,-1.1348960368673764,1
GSE8397,music,C-1,1.3579475599361996,0.16171490876869937,0
GSE8397,music,C-10,1.8146205211744257,2.938327041824735,0
GSE8397,music,C-155,0.8175753244120237,0.7081466699098594,0
GSE8397,music,C-2,1.4483465149157775,2.3045842579767295,0
GSE8397,music,C-3,1.0118594863976238,0.9119563760310454,0
GSE8397,music,C-4,0.21808844076945755,-0.4561694032801289,0
GSE8397,music,C-8,0.47377511446668374,-0.4198312038313,0
GSE8397,music,C-9,1.4939988648031046,1.3585827943183093,0
GSE8397,music,PD-1,-1.0312260403974,-0.5906836907159105,1
GSE8397,music,PD-10,-1.2569274592580142,-0.5906836907159105,1
GSE8397,music,PD-16,-1.6738032668222738,-0.5906836907159105,1
GSE8397,music,PD-2,-0.5484367506619328,-0.5906836907159105,1
GSE8397,music,PD-20,-0.3535582677750207,-0.5906836907159105,1
GSE8397,music,PD-21,-0.6791661402335152,-0.5906836907159105,1
GSE8397,music,PD-22,1.1485549188415234,0.7622602283048001,1
GSE8397,music,PD-28,-0.9836552710935313,-0.5906836907159105,1
GSE8397,music,PD-29,-0.041753334964986476,-0.5906836907159105,1
GSE8397,music,PD-32,-0.24228543253781837,-0.5906836907159105,1
GSE8397,music,PD-34,-0.1314738865923194,-0.5906836907159105,1
GSE8397,music,PD-36,-0.5195746396467492,-0.5906836907159105,1
GSE8397,music,PD-4,-1.3702336591373565,-0.5906836907159105,1
GSE8397,music,PD-7,-0.10800608172991823,-0.5906836907159105,1
GSE8397,music,PD-9,-0.8446665148659831,-0.5906836907159105,1
GSE49036,nnls,GSM1192691,1.1321621001089155,1.8547070362103084,0
GSE49036,nnls,GSM1192692,0.17654606125354785,-0.3074661810995314,0
GSE49036,nnls,GSM1192693,1.0377467185612557,1.5294755049155744,0
GSE49036,nnls,GSM1192694,0.22087573963950072,-0.41797693248219897,0
