library,term,size,anchors,direction,neighbours,shift,p,fwer,fdr,neighbour_median_percentile,top_neighbours
GO:BP,Skeletal System Development (GO:0001501),35,SOX6,down,34,-0.031486399334800595,0.6136772645470906,1.0,0.7378152777777778,0.5222340803984347,"CDH11, XYLT1, MATN3, MMP16, PAPSS1, EN1"
GO:BP,Protein Localization To Chromosome (GO:0034502),21,ZMYND8,up,20,-0.03765005260938779,0.613877224555089,1.0,0.7378152777777778,0.4062611170401992,"TNKS2, TNKS, CHMP7, SLF2, XRCC5, ATRX"
Reactome,Regulation Of Insulin Secretion R-HSA-422356,36,"PRKAR2A, CACNA1A",up,34,-0.03297077246380093,0.6150769846030794,1.0,0.7378152777777778,0.5243685521166845,"SNAP25, GNAI2, GNB5, GNG4, GNAS, SLC2A1"
Reactome,Regulation Of TNFR1 Signaling R-HSA-5357905,16,CFLAR,up,15,-0.03847734665032476,0.6160767846430714,1.0,0.7378152777777778,0.5544290288153682,"UBA52, UBC, USP25, RBCK1, BIRC2, XIAP"
GO:MF,Cell-Cell Adhesion Mediator Activity (GO:0098632),19,CNTN4,down,18,-0.03543191610111131,0.6172765446910617,1.0,0.7378152777777778,0.4945748843827819,"CD47, EMB, CLSTN3, CNTN6, NFASC, CNTN1"
Reactome,Receptor-type Tyrosine-Protein Phosphatases R-HSA-388844,12,PPFIA4,up,11,-0.03587909313765439,0.6180763847230554,1.0,0.7378152777777778,0.3774457488438278,"PTPRD, NTRK3, PTPRS, PPFIBP1, PPFIA1, SLITRK3"
Reactome,Opioid Signaling R-HSA-111885,45,PRKAR2A,up,44,-0.033553217246662825,0.619876024795041,1.0,0.7378152777777778,0.46931696905016007,"PLCB4, MAPK1, GNAI2, PPP3CA, GNAI3, GNB5"
Reactome,Deactivation Of Beta-Catenin Transactivating Complex R-HSA-3769402,20,SOX6,down,19,-0.03926352048782926,0.620875824835033,1.0,0.7378152777777778,0.3676627534685165,"BCL9, YWHAZ, SOX2, CHD8, CTNNB1, RBBP5"
GO:CC,Vacuolar Lumen (GO:0005775),69,LGMN,down,68,-0.040207083610927355,0.6220755848830234,1.0,0.7378152777777778,0.41915688367129134,"NCAN, CTSF, NHLRC3, GCA, FUCA2, FAF2"
GO:BP,Neuropeptide Signaling Pathway (GO:0007218),10,SSTR1,down,9,-0.04292198270559311,0.6230753849230154,1.0,0.7378152777777778,0.6159729633582355,"NTSR2, SORT1, GLRB, OPRL1, CPE, RAPGEF2"
GO:BP,Cellular Response To Calcium Ion (GO:0071277),27,"CPNE3, LGMN, CACNA1A",down,24,-0.03547696219660187,0.624875024995001,1.0,0.7378152777777778,0.4923514763429384,"RYR3, CAMK2D, PRKAA1, NLGN1, BRAF, IQGAP1"
GO:BP,Muscle Organ Development (GO:0007517),20,SOX6,down,19,-0.03761907264982399,0.6250749850029994,1.0,0.7378152777777778,0.43098541444325866,"NEB, SGCD, EMD, DMD, SRI, FKTN"
GO:BP,Chemical Synaptic Transmission (GO:0007268),116,CACNA1A,up,115,-0.032108348026952664,0.627874425114977,1.0,0.7378152777777778,0.42547136250444684,"NSG1, PTCHD1, SHISA6, GRIN2A, STXBP3, SYN2"
