threshold,n_genes,cohort,n,genes_measured,auc,ci_lo,ci_hi,accuracy
0.6,8,GSE20164,11,7,0.7666666666666666,0.33333333333333337,1.0,0.7272727272727273
0.6,8,GSE8397,23,7,0.6666666666666667,0.4017857142857143,0.8823774509803923,0.5652173913043478
0.6,8,GSE49036,23,8,0.9333333333333333,0.7954342532467532,1.0,0.7391304347826086
0.6,8,GSE114517,29,8,0.803921568627451,0.6127042483660131,0.9509803921568628,0.6551724137931034
0.6,8,GSE168496,16,8,0.90625,0.671875,1.0,0.75
0.64,8,GSE7621,25,8,0.9236111111111112,0.7916118421052631,1.0,0.88
0.64,8,GSE20292,29,7,0.35353535353535354,0.15713585434173666,0.5777813852813852,0.4827586206896552
0.64,8,GSE20163,17,7,0.5277777777777778,0.21428571428571427,0.8196726190476199,0.47058823529411764
0.64,8,GSE20164,11,7,0.7666666666666666,0.33333333333333337,1.0,0.7272727272727273
0.64,8,GSE8397,23,7,0.6666666666666667,0.4126750700280112,0.8923214285714287,0.5652173913043478
0.64,8,GSE49036,23,8,0.9333333333333333,0.8,1.0,0.7391304347826086
0.64,8,GSE114517,29,8,0.803921568627451,0.6086743393009378,0.951923076923077,0.6551724137931034
0.64,8,GSE168496,16,8,0.90625,0.6666666666666667,1.0,0.75
0.68,8,GSE7621,25,8,0.9236111111111112,0.7933333333333333,1.0,0.88
0.68,8,GSE20292,29,7,0.35353535353535354,0.15216858482523446,0.5686274509803921,0.4827586206896552
0.68,8,GSE20163,17,7,0.5277777777777778,0.20833333333333334,0.8333333333333334,0.47058823529411764
0.68,8,GSE20164,11,7,0.7666666666666666,0.33333333333333337,1.0,0.7272727272727273
0.68,8,GSE8397,23,7,0.6666666666666667,0.4,0.8921568627450981,0.5652173913043478
0.68,8,GSE49036,23,8,0.9333333333333333,0.803030303030303,1.0,0.7391304347826086
0.68,8,GSE114517,29,8,0.803921568627451,0.6210025062656641,0.9494949494949494,0.6551724137931034
0.68,8,GSE168496,16,8,0.90625,0.6666666666666667,1.0,0.75
0.72,6,GSE7621,25,6,0.9305555555555556,0.8012820512820513,1.0,0.8
0.72,6,GSE20292,29,6,0.4393939393939394,0.23232323232323232,0.6607368326118327,0.5172413793103449
0.72,6,GSE20163,17,6,0.4305555555555556,0.14285714285714285,0.7285714285714285,0.47058823529411764
0.72,6,GSE20164,11,6,0.6666666666666666,0.2333333333333333,1.0,0.8181818181818182
0.72,6,GSE8397,23,6,0.7333333333333334,0.4666071428571429,0.9473684210526316,0.5217391304347826
0.72,6,GSE49036,23,6,0.8416666666666667,0.6447295321637427,0.9833333333333334,0.6956521739130435
0.72,6,GSE114517,29,6,0.8186274509803921,0.5980392156862745,0.9848484848484849,0.8275862068965517
0.72,6,GSE168496,16,6,0.65625,0.33333333333333337,0.9206349206349206,0.6875
0.76,5,GSE7621,25,5,0.9097222222222222,0.7662337662337663,1.0,0.8
0.76,5,GSE20292,29,5,0.398989898989899,0.20129074357015536,0.6262639553429028,0.5172413793103449
