size_8,size_14,size_30
0.6329264250804543,0.5675426270525727,0.6962627593514197
0.5523779318173232,0.55451338443943,0.6272596759845994
0.5836542705188574,0.6593790033967695,0.6714569616601239
0.6212899996221996,0.5848667308927424,0.6814556221858159
0.6304835158796396,0.5646240971427983,0.619131599916197
0.6266093869672584,0.5676640598435906,0.5762013195539207
0.5853006003592539,0.6291226615011043,0.4982128750957381
0.5469926655195272,0.6126513777695348,0.6842830721358433
0.5672594269797602,0.5075132058428556,0.7320400537163543
0.6247959018955278,0.671443910371996,0.6318767838191504
0.5324166950017001,0.5600928101140614,0.6808431561449242
0.5515767587469389,0.694343296961454,0.7208161176539278
0.629764879327103,0.6694392067564457,0.5708173197462555
0.6074062625575716,0.5858305513482325,0.5016910433817947
0.6722877791859431,0.7220003717899841,0.6570722096861166
0.6385027811264635,0.5448585867172231,0.7052615795836639
0.5744141517177899,0.5506731287715647,0.6374148017062842
0.5836363464636161,0.5556365250601905,0.5830866253490361
0.5319303198595956,0.4662719081326698,0.6267515773168613
0.6344861613413977,0.4435628385177859,0.48088595921815913
0.5766897339597952,0.6117718755044494,0.6959153761346892
0.6803096418108319,0.6737541171662219,0.6984168873364727
0.6656733949491516,0.6296101314058642,0.5371092555957397
0.5945329699579954,0.5903316572731738,0.6652621505775195
0.6572586198606261,0.4919806059575696,0.6138818909942677
0.5320449050175333,0.6684671433821383,0.6968372521543211
0.6508266316686072,0.5300240375533642,0.7837982425410172
0.64175918484402,0.7188300894013238,0.672659783829454
0.473385632935956,0.5130073473600335,0.6309129633636604
0.5110917488382636,0.6186152583296411,0.7089340789740314
0.3961686956267881,0.534044628536298,0.5699564069803784
0.5576491281396075,0.6257833992766839,0.5890365530517689
0.578678187862989,0.6938184763308021,0.644794854357928
0.5121244534773096,0.5781902457076717,0.7773215408076
0.5102638077476568,0.3974518003908517,0.655201324705745
0.6130099018062296,0.6978655562768109,0.5889981290291559
0.5941838050687083,0.5050203668785784,0.554787225364835
0.4875314475939263,0.4812577492023259,0.6876327453384576
0.6029054356897777,0.4131113712782363,0.5907237540313024
